M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
12288,4096,20,1,64,2,2,0.291,0.005,4.426117e+11,6.403038e+01,8.937858e-07
12288,4096,20,1,256,2,2,0.291,0.004,4.890345e+11,7.074612e+01,8.937858e-07
12288,4096,20,1,576,2,2,0.291,0.003,5.951465e+11,8.609680e+01,8.937858e-07
12288,4096,20,1,1024,2,2,0.291,0.003,6.521453e+11,9.434252e+01,8.937858e-07
12288,4096,32,1,64,2,2,0.381,0.006,5.469673e+11,6.469504e+01,8.949427e-07
12288,4096,32,1,256,2,2,0.381,0.004,7.835041e+11,9.267249e+01,8.949427e-07
12288,4096,32,1,576,2,2,0.381,0.005,5.937938e+11,7.023365e+01,8.949427e-07
12288,4096,32,1,1024,2,2,0.381,0.003,1.046280e+12,1.237535e+02,8.949427e-07
24576,8192,3,1,64,2,2,0.748,0.006,1.972436e+11,1.221567e+02,1.257658e-06
24576,8192,3,1,256,2,2,0.748,0.008,1.499632e+11,9.287508e+01,1.257658e-06
24576,8192,3,1,576,2,2,0.748,0.011,1.146215e+11,7.098726e+01,1.257658e-06
24576,8192,3,1,1024,2,2,0.748,0.012,1.028270e+11,6.368275e+01,1.257658e-06
24576,8192,6,1,64,2,2,0.883,0.006,3.955228e+11,1.445582e+02,1.266485e-06
24576,8192,6,1,256,2,2,0.883,0.008,2.976538e+11,1.087884e+02,1.266485e-06
24576,8192,6,1,576,2,2,0.883,0.011,2.287356e+11,8.359970e+01,1.266485e-06
24576,8192,6,1,1024,2,2,0.883,0.012,2.038340e+11,7.449850e+01,1.266485e-06
