M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
4096,4096,3,3,1024,2,2,0.059,0.010,9.984808e+09,5.878054e+00,8.877693e-07
4096,4096,6,3,64,2,2,0.074,0.003,7.578131e+10,2.768886e+01,8.912234e-07
4096,4096,6,3,256,2,2,0.074,0.004,5.266352e+10,1.924212e+01,8.912234e-07
4096,4096,6,3,576,2,2,0.074,0.007,2.961675e+10,1.082132e+01,8.912234e-07
4096,4096,6,3,1024,2,2,0.074,0.013,1.533435e+10,5.602840e+00,8.912234e-07
4096,4096,8,3,64,2,2,0.062,0.003,9.605388e+10,2.221064e+01,8.880090e-07
4096,4096,8,3,256,2,2,0.062,0.004,7.177071e+10,1.659562e+01,8.880090e-07
4096,4096,8,3,576,2,2,0.062,0.007,3.579301e+10,8.276456e+00,8.880090e-07
4096,4096,8,3,1024,2,2,0.062,0.014,1.860160e+10,4.301269e+00,8.880090e-07
4096,4096,20,3,64,2,2,0.097,0.006,1.150256e+11,1.663415e+01,8.927205e-07
4096,4096,20,3,256,2,2,0.097,0.008,8.738313e+10,1.263671e+01,8.927205e-07
4096,4096,20,3,576,2,2,0.097,0.014,4.684176e+10,6.773912e+00,8.927205e-07
4096,4096,20,3,1024,2,2,0.097,0.025,2.645418e+10,3.825609e+00,8.927205e-07
4096,4096,32,3,64,2,2,0.131,0.009,1.153723e+11,1.412572e+01,8.947326e-07
4096,4096,32,3,256,2,2,0.131,0.012,8.635878e+10,1.057342e+01,8.947326e-07
4096,4096,32,3,576,2,2,0.131,0.021,5.159270e+10,6.316799e+00,8.947326e-07
4096,4096,32,3,1024,2,2,0.131,0.037,2.897893e+10,3.548062e+00,8.947326e-07
8192,8192,3,3,64,2,2,0.249,0.004,1.007696e+11,6.236728e+01,1.254414e-06
8192,8192,3,3,256,2,2,0.249,0.005,8.581832e+10,5.311381e+01,1.254414e-06
8192,8192,3,3,576,2,2,0.249,0.010,3.848951e+10,2.382154e+01,1.254414e-06
8192,8192,3,3,1024,2,2,0.249,0.020,1.997938e+10,1.236543e+01,1.254414e-06
8192,8192,6,3,64,2,2,0.295,0.006,1.414235e+11,5.171897e+01,1.255282e-06
8192,8192,6,3,256,2,2,0.295,0.007,1.083451e+11,3.962208e+01,1.255282e-06
8192,8192,6,3,576,2,2,0.295,0.014,5.765864e+10,2.108592e+01,1.255282e-06
8192,8192,6,3,1024,2,2,0.295,0.026,3.078661e+10,1.125875e+01,1.255282e-06
8192,8192,8,3,64,2,2,0.249,0.006,1.774741e+11,4.108567e+01,1.259074e-06
8192,8192,8,3,256,2,2,0.249,0.007,1.481868e+11,3.430560e+01,1.259074e-06
8192,8192,8,3,576,2,2,0.249,0.015,7.066493e+10,1.635910e+01,1.259074e-06
8192,8192,8,3,1024,2,2,0.249,0.029,3.677886e+10,8.514391e+00,1.259074e-06
8192,8192,20,3,64,2,2,0.388,0.013,2.136429e+11,3.085231e+01,1.258713e-06
8192,8192,20,3,256,2,2,0.388,0.016,1.707519e+11,2.465840e+01,1.258713e-06
8192,8192,20,3,576,2,2,0.388,0.029,9.234114e+10,1.333505e+01,1.258713e-06
8192,8192,20,3,1024,2,2,0.388,0.051,5.241994e+10,7.569999e+00,1.258713e-06
8192,8192,32,3,64,2,2,0.528,0.019,2.221380e+11,2.732718e+01,1.258569e-06
8192,8192,32,3,256,2,2,0.528,0.024,1.760450e+11,2.165687e+01,1.258569e-06
8192,8192,32,3,576,2,2,0.528,0.042,1.018382e+11,1.252803e+01,1.258569e-06
8192,8192,32,3,1024,2,2,0.528,0.074,5.788706e+10,7.121205e+00,1.258569e-06
16384,16384,3,3,64,2,2,0.996,0.011,1.414811e+11,8.750184e+01,1.768317e-06
16384,16384,3,3,256,2,2,0.996,0.014,1.163494e+11,7.195864e+01,1.768317e-06
16384,16384,3,3,576,2,2,0.996,0.021,7.608264e+10,4.705485e+01,1.768317e-06
